cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;dt_fundacao_osc;removida_do_mosc;data_fechamento;ano_fechamento;tx_endereco_completo;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social
26630983000133;COMUNIDADE NOVA UNIAO;COMUNIDADE NOVA UNIAO;2016-11-09;não;;;VIA LUIZ VARGA2025, GLEBA BEATRIZ, Limeira, SP, 13486605;LIMEIRA;SP;-47,3801875939996;-22,5646272409996;87204.0;1.0
49082944000144;INSTITUTO QG DO BEM;Q G DO BEM;1982-02-12;não;;;RUA JANDAIA DO SUL94, VILA GUILHERMINA, São Paulo, SP, 03545020;S�O PAULO;SP;-46,5134028909996;-23,5312780939996;88006.0;1.0
52798568000101;INSTITUTO MULHERES DO GRAJAU;;1983-07-27;não;;;RUA JOAO BATISTA BARROZO FILHO183, PARQUE GRAJAU, São Paulo, SP, 04842345;S�O PAULO;SP;-46,6859491249996;-23,7460475299996;88006.0;1.0
24569851000118;ASSOCIACAO PROJETO RESTAURA;ASSOCIACAO PROJETO RESTAURA;2015-11-11;não;;;AVENIDA ACADEMICO LUIZ A. A. BITENCOURT20, JARDIM ESMERALDA, Limeira, SP, 13484458;LIMEIRA;SP;-47,4348400699996;-22,5637906979996;88006.0;1.0
47828389000121;ASSOCIACAO MADRE MARIA EUGENIA;;1981-12-04;não;;;ALAMEDA LORENA665, JARDIM PAULISTA, São Paulo, SP, 01424000;S�O PAULO;SP;-46,6567782319996;-23,5724243309996;87301.0;1.0
65505828000147;ASSOC.DOS MORADORES DO CJHABITACIONAL RIO DAS PEDRAS II;;1991-04-26;não;;;RUA SAO GONCALO DO RIO DAS PEDRAS874, PARQUE PAULISTANO, São Paulo, SP, 08081000;S�O PAULO;SP;-46,4208749919996;-23,4895110649996;87301.0;1.0
3951073000157;ASSOCIACAO DE APOIO A COMUNIDADE PELO BEM ESTAR SOCIAL - ACE;;2000-04-10;não;;;AVENIDA ANGELICA1851, APARTAMENTO 182, HIGIENOPOLIS, São Paulo, SP, 01227000;S�O PAULO;SP;-46,6540855959996;-23,5362080889996;88006.0;1.0
3951901000157;MATER DEI - CAM - CASA DE APOIO A MENINA;;2000-07-06;não;;;PRACA JOAO PAULO II65, ATIBAIA JARDIM, Atibaia, SP, 12942290;ATIBAIA;SP;-46,5587756979996;-23,1260212399996;88006.0;1.0
7739900000102;CASA DE AMPARO A VELHICE 'NOVA MORADA';;2005-11-17;não;;;ESTRADA  MATO DENTRO54, MATO DENTRO, Mairiporã, SP, 07600000;MAIRIPOR�;SP;-46,6201308299996;-23,3068046429996;87115.0;1.0
46235495000139;FUNDACAO IRMA RUTH DE MARIA CAMARGO SAMPAIO;FIRMACASA;1973-11-19;não;;;RUA ANTONIO DE MENDONCA100, CHACARAS BOA VISTA, Campinas, SP, 13068575;CAMPINAS;SP;-47,1489762679996;-22,8700091299996;85121.0;1.0
12602609000110;CASA DE RECUPERACAO E REINTEGRACAO SOCIAL JOVENS LIVRES;CRERESJL;2010-06-11;não;;;RODOVIA DA AMIZADE AGUDOS/BOREBIKM 1, ZONA RURAL, Agudos, SP, 17120001;AGUDOS;SP;-48,9867824479997;-22,4699129719996;87123.0;1.0
47530100000193;BETEL;;1976-08-19;não;;;RUA ATERRADINHO20, VILA CRISTINA, São José do Rio Preto, SP, 15070020;S�O JOS� DO RIO PRETO;SP;-49,3669078199996;-20,8117662199996;94308.0;1.0
