id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
31647040565,316470,MG,São Sebastião do Paraíso,CRAS 3 RONALDO DE CARVALHO,,,RUA DOS ANTUNES - 756,756,,,CENTRO,37950000,,2026-03-12T04:09:19.060Z
31648033393,316480,MG,São Sebastião do Rio Preto,CRAS,,,Cônego Manoel Madureira - 67,67,,Em frente a Igreja Católica,Centro,35815000,"-19.300450798730797\,-43.21974277496338",2026-03-12T04:09:16.125Z
31649032867,316490,MG,São Sebastião do Rio Verde,CRAS Casa das Famílias,,,DR. ANDRÉ SARMENTO - 202,202,,,CENTRO,37467000,"-22.21770165674328\,-44.97742652893067",2026-03-12T04:09:19.060Z
31650033037,316500,MG,São Tiago,CRAS,,,DOM VIÇOSO - 180,180,,PRÓXIMO AO HOSPITAL SÃO VICENTE DE PAULO,CERRADO,36350000,"-20.90890173993675\,-44.508490562438965",2026-03-12T04:09:17.127Z
31651032987,316510,MG,São Tomás de Aquino,"CRAS - ""Jairo de Lima""",,,Miguel Matins  - 775,775,,Proximo a Creche Municipal,Centro,37960000,"-20.7850473\,-47.1007468",2026-03-12T04:09:16.722Z
31652004818,316520,MG,São Thomé Das Letras,CRAS Espaço Amigo,,,Joaquim José Mendes Peixoto - 230,230,,Perto do Supermercado Souza Reis,Centro,37408000,"-21.72085302330742\,-44.985215663920144",2026-03-12T04:09:12.150Z
31653006794,316530,MG,São Vicente de Minas,"CRAS CENTRO DE REFERENCIA ASSISTENCIA SOCIAL - ""ANTONIA ALVES RIBEIRO""",,,SÃO VICENTE DE PAULO - 113,113,,Próximo ao Hospital,TIJUCO,37370000,"-21.713\,-44.444",2026-03-12T04:09:12.628Z
31654033043,316540,MG,Sapucaí-mirim,CRAS CASA DAS FAMILIAS SAPUCAI MIRIM,,,JOSE ANTONIO DA SILVA - 75,75,,ANTIGA FABRICA SPCOM,CENTRO,37690000,"-22.74711202390799\,-45.74423253552596",2026-03-12T04:09:15.742Z
31655001923,316550,MG,Sardoá,CRAS - Centro de Referencia da Assistencia Social -Casa da Familia,,,Vereador Joaquim Firmino - 308,308,Casa,,Centro,39728000,"-18.781855065249573\,-42.36736429352761",2026-03-12T04:09:12.515Z
31655306507,316553,MG,Sarzedo,CRAS GERALDA SILVEIRA BARBOSA,,,ELOI CANDIDO DE MELO - 210,210,,Rua da prefeitura.,CENTRO,32450000,"-20.03533002953141\,-44.145212173461914",2026-03-12T04:09:14.071Z
31655330260,316553,MG,Sarzedo,CRAS BENJAMIN GOMES DA SILVA,,,Wenceslau Braz - 399,399,,Antiga APAE,BRASILIA,32450000,"-20.052827142374028\,-44.13220882415772",2026-03-12T04:09:14.071Z
