id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
31652095820,316520,MG,São Thomé Das Letras,CREAS DIREITO DE RECOMEÇAR,,,Vicente Ferreira Pompeu - 55,55,,,CENTRO,37408000,"-21.72250052134156\,-44.98528003692628",2026-03-12T04:09:19.060Z
31655397544,316553,MG,Sarzedo,CREAS,,,José Batista Filho - 27,27,,,Centro,32450000,"-20.03349554191151\,-44.147593975067146",2026-03-12T04:09:18.799Z
31659099641,316590,MG,Senador Modestino Gonçalves,CREAS,,,DIAMANTINA - 64,64,CASA,PRÓXIMO LABORATÓRIO THIAGO HUGO,CENTRO,39190000,"-17.94850341981491\,-43.22248935699463",2026-03-12T04:09:17.127Z
31665099926,316650,MG,Serra Azul de Minas,CREAS,,,JOSE LACORDERIO  - 72,72,CASA,EM FRENTE A APAE,CENTRO,39165000,,2026-03-12T04:09:16.212Z
31671094208,316710,MG,Serro,CREAS - Centro Serro (MG),,,TIRADENTES - 89,89,,Beco da Igreja do Nossa Senhora Do Carmo,Centro,39150000,"-18.605862237737657\,-43.38413000106812",2026-03-12T04:09:15.987Z
31676099851,316760,MG,Simonésia,CREAS,,,Coronel Ardelino de Carvalho - 115,115,,ao lado do CRAS,CENTRO,36930000,,2026-03-12T04:09:15.669Z
31680599411,316805,MG,Taparuba,CREAS -LIZETE MARIA,,,Rua Flanklin Rodrigues - 07,07,,,Centro,36953000,"-19.759009706761887\,-41.6159749031067",2026-03-12T04:09:18.999Z
31692099310,316920,MG,Tombos,CREAS DE TOMBOS,,,CORONEL BENTO MACHADO - 275,275,,,CENTRO,36844000,"-20.905\,-42.023",2026-03-12T04:09:18.999Z
31696097324,316960,MG,Tupaciguara,CREAS - Centro de Referência Especializado da Assistência Social,,,Lindolfo Ferreira Borges - 245,245,não tem,"Próximo ao ""Mercearia Poliana"".",Tiradentes,38480000,"-18.603177837717183\,-48.68951797485352",2026-03-12T04:09:16.779Z
31697097692,316970,MG,Turmalina,CREAS,,,Minas Novas  - 240,240,,Sindicato dos Trabalhadores.,Rosário,39660000,"-17.28555776523538\,-42.731902599334724",2026-03-12T04:09:17.338Z
