id;data_inversa;dia_semana;horario;uf;municipio;ITEM;GRUPO_ITEM;Primeira_Doação;idade;sexo;QTD;TIPO_ONG;ID_ONG
571949;01/01/2025;segunda-feira;18:10:00;SP;BARRA DO TURVO;Fralda;Higiene;Não;15;Masculino;5;ONG;6,02949E+12
572031;30/08/2025;terça-feira;04:37:00;SP;SAO JOSE DOS CAMPOS;Não Pereciveis;Alimentação;Não;71;Masculino;24;ONG;3,39156E+13
572266;30/08/2025;terça-feira;21:05:00;SP;BARRA DO TURVO;Fralda;Higiene;Não;15;Masculino;44;ONG;6,02949E+12
572271;03/01/2025;quarta-feira;00:15:00;SP;VARGEM;Camisa Manga Longa;Roupa;Não;41;Masculino;28;ONG;5,49372E+12
572271;03/01/2025;quarta-feira;00:15:00;SP;VARGEM;Camisa Manga Longa;Roupa;Não;27;Feminino;10;ONG;5,49372E+12
572271;03/01/2025;quarta-feira;00:15:00;SP;VARGEM;Camisa Manga Longa;Roupa;Não;60;Masculino;34;ONG;5,49372E+12
572271;03/01/2025;quarta-feira;00:15:00;SP;VARGEM;Camisa Manga Longa;Roupa;Não;72;Masculino;28;ONG;5,49372E+12
572347;03/01/2025;quarta-feira;10:50:00;SP;NOVA GRANADA;Camisa Manga Longa;Roupa;Não;62;Masculino;24;ONG;1,10882E+13
572395;03/01/2025;quarta-feira;14:42:00;SP;SAO JOSE DO RIO PRETO;Camisa Manga Longa;Roupa;Sim;39;Masculino;38;ONG;3,58934E+12
572399;03/01/2025;quarta-feira;15:15:00;SP;GUARATINGUETA;Camisa Manga Longa;Roupa;Não;53;Masculino;14;ONG;5,45371E+13
572399;03/01/2025;quarta-feira;15:15:00;SP;GUARATINGUETA;Camisa Manga Longa;Roupa;Não;46;Masculino;13;ONG;5,45371E+13
572467;03/01/2025;quarta-feira;18:30:00;SP;BARRA DO TURVO;Camisa Manga Longa;Roupa;Não;26;Masculino;25;ONG;6,02949E+12
572503;03/01/2025;quarta-feira;22:10:00;SP;BARRA DO TURVO;Escova de Dentes Adulto;Objetos;Não;63;Masculino;48;ONG;6,02949E+12
572544;04/01/2025;quinta-feira;09:30:00;SP;BARRA DO TURVO;Pasta de dente;Higiene;Não;68;Masculino;23;ONG;6,02949E+12
572641;04/01/2025;quinta-feira;15:05:00;SP;BARRA DO TURVO;Camisa Manga Longa;Roupa;Sim;54;Masculino;38;ONG;6,02949E+12
572641;04/01/2025;quinta-feira;15:05:00;SP;BARRA DO TURVO;Camisa Manga Longa;Roupa;Sim;22;Masculino;43;ONG;6,02949E+12
572778;05/01/2025;sexta-feira;16:20:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Não;27;Feminino;30;ONG;1,20784E+13
572778;05/01/2025;sexta-feira;16:20:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Não;27;Masculino;18;ONG;1,20784E+13
572908;06/01/2025;sábado;09:45:00;SP;MAIRIPORA;Camisa Manga Longa;Roupa;Não;59;Masculino;10;ONG;5,89764E+13
572908;06/01/2025;sábado;09:45:00;SP;MAIRIPORA;Camisa Manga Longa;Roupa;Não;18;Masculino;9;ONG;5,89764E+13
572955;06/01/2025;sábado;14:00:00;SP;ATIBAIA;Papel Higiênico;Higiene;Sim;21;Masculino;22;ONG;4,17847E+12
