cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;dt_fundacao_osc;removida_do_mosc;data_fechamento;ano_fechamento;tx_endereco_completo;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social;Populacao
3739004000184;ASSOCIACAO BRACOS ABERTOS;ABA;2000-03-30;não;;;RUA PASCHOAL PALAZZO663, RETIRO DA MANTIQUEIRA, Cruzeiro, SP, 12712500;Cruzeiro;SP;-44,9578439369996;-22,5593949239996;88006.0;1.0;76.444
44625266000103;ACEF - ALIMENTO COMPLETO ESPIRITUAL E FISICO;ACEF - ALIMENTO COMPLETO ESPIRITUAL E FISICO;2021-11-25;não;;;RUA JOAQUIM AMELIO410, VILA REGINA CELIA, Cruzeiro, SP, 12705520;Cruzeiro;SP;-44,9645968319996;-22,5712505059996;88006.0;1.0;76.444
20115915000150;ASSOCIACAO ACONTECER TECENDO VIDAS;AATV;2014-04-07;não;;;RUA CORONEL BENTO SOARES, 171, ANEXO PRACA CELIA FALEIROS, ITAGACABA, Cruzeiro, SP, 12730340;Cruzeiro;SP;-44,95379;-22,582509;88006.0;1.0;76.444
4293518000111;INSTITUTO KARINHA DE CRIANCA;;2001-01-03;não;;;AVENIDA FRANCISCO PRESTES MAIA261, 1 RET MANTIQUEIRA, Cruzeiro, SP, 12710090;Cruzeiro;SP;-44,9551894279996;-22,5686426449996;88006.0;1.0;76.444
28544216000480;INSTITUTO BENEFICENTE IRMA LOURDES - IBEIL;CASA GIRASSOL;2023-01-12;não;;;RUA DOUTOR CARLOS VARELA, 557, , CENTRO, Cruzeiro, SP, 12701310;Cruzeiro;SP;-44,963586;-22,577573;87301.0;1.0;76.444
1213963000136;FUNDACAO CARLOS MARCELLO CAETANO;;1996-05-20;não;;;RUA CAPITAO OTAVIO RAMOS189, CENTRO, Cruzeiro, SP, 12701360;Cruzeiro;SP;-44,9656482289996;-22,5722534599996;88006.0;1.0;76.444
27718941000111;INSTITUTO PALPARE;;2017-01-24;não;;;AVENIDA PREFEITO FRANCISCO PRESTES MAIA261, VILA CANEVARI, Cruzeiro, SP, 12710090;Cruzeiro;SP;-44,9551894279996;-22,5686426449996;88006.0;1.0;76.444
47437538000121;CENTRO ESPIRITA VICENTE DE PAULO;;1972-04-28;não;;;RUA CAPITAO AVELINO BASTOS546, CENTRO, Cruzeiro, SP, 12701440;Cruzeiro;SP;-44,9615215849996;-22,5772466999996;94910.0;1.0;76.444
50332915000172;GRUPO DA FRATERNIDADE CARMEN CINIRA;;1976-01-01;não;;;RUA JOSE NORBERTO PINTO169, VL ANA ROSA, Cruzeiro, SP, 12705230;Cruzeiro;SP;-44,9727056889996;-22,5761656979996;88006.0;1.0;76.444
47437751000133;ASILO SAO VICENTE DE PAULO;;1969-11-03;não;;;RUA DOM BOSCO567, CENTRO, Cruzeiro, SP, 12701250;Cruzeiro;SP;-44,9632440099996;-22,5733079969996;87115.0;1.0;76.444
